k,silhouette_score
4,0.39547953585558887
5,0.18817319004945546
6,0.1766342453239155
7,0.14231301435407256
8,0.17230883215729542
9,0.16878173731751284
10,0.14594821168602415
11,0.16559805938524622
12,0.14256408391153316
